,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
121,1363072,0.14,101,Partial,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1363072_001cb408a069a1795781eaba141a9e77_3085113.jpg,40.776429,-111.87420900000001,250000,00/00/0000,0,4,,Single Family,Asbestos Shingles,Salt Lake,222000,1998,2.0,1.0,1191,1940,2
122,1363132,0.26,101,Daylight; Full; Walkout,Salt Lake City,Salt Lake,1,2,2 Car Deep (Tandem); Attached,,Forced Air; Gas: Central,1363132_fa553babe919bd2c2a2b069063742e84_843065.jpg,40.775689,-111.84881999999999,898000,00/00/0000,1,1,,Single Family,Asphalt Shingles,Salt Lake,819500,5500,6.0,3.0,3888,1976,2
126,1362382,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Attached; Parking: Covered,315.0,Forced Air; Gas: Central,1362382_abb687413d20e6ade9c6c437a4d3ad54_5233406.jpg,40.773058,-111.88447,385000,00/00/0000,0,0,Heated; Indoor; With Spa,Condo,,Salt Lake,380000,2731,2.0,3.0,2098,1985,0
127,1362254,0.26,101,Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,2,Attached; Extra Length; Workbench,,Gas: Central,1362254_91dcc1baf08f857cdc66ce47cd5fc787_321741.jpg,40.787302000000004,-111.86434299999999,800000,00/00/0000,1,0,,Single Family,Rubber (EPDM),Salt Lake,780000,4297,3.0,3.0,3492,1965,2
128,1361872,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,See Remarks; Attached; Opener; Parking: Covered,448.0,Forced Air; Gas: Central,1361872_77fc1774df11cadadb0372146e81d5be_363806.jpg,40.772271,-111.88640900000001,229000,00/00/0000,0,0,Heated; Indoor,Condo,Rubber (EPDM),Salt Lake,229000,1741,2.0,2.0,995,1976,0
130,1361447,0.13,101,Daylight; Full,Salt Lake City,Salt Lake,1,2,Detached; Opener,,Forced Air; Gas: Central; &gt;= 95% efficiency,1361447_1c3aaa9c004ff307ab82007347529d12_1836687.jpg,40.770928000000005,-111.852599,610000,00/00/0000,0,0,,Single Family,Composition,Salt Lake,580000,4022,4.0,4.0,3144,1920,2
131,1360958,0.12,101,Shelf,Salt Lake City,Salt Lake,0,2,Detached,,Gas: Central,1360958_36cce8842975e4d9156028969540f3b8_2341091.jpg,40.775932,-111.86789499999999,599900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,599000,1735,3.0,3.0,2584,1910,2
132,1356684,0.12,101,Full,Salt Lake City,Salt Lake,0,2,Detached,,Gas: Central,1356684_85411ff8c4aaec2cc76722c7ce90907a_323118.jpg,40.77197,-111.855744,579000,00/00/0000,1,4,,Single Family,Asphalt Shingles,Salt Lake,550000,3837,3.0,3.0,2486,1902,2
133,1356153,0.36,101,Slab,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Forced Air; Gas: Central,nophoto.jpg,40.786679,-111.86856499999999,600000,00/00/0000,1,2,,Single Family,Pitched; Rubber (EPDM),Salt Lake,591000,4387,4.0,3.0,2700,1956,2
134,1356213,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Parking: Covered,379.0,Electric,1356213_5b7765a0f490f14a258f32db5ad0fdec_399210.jpg,40.774293,-111.89073400000001,215000,00/00/0000,0,0,Fenced; Heated; In Ground,Condo,Rubber (EPDM),Salt Lake,212500,1331,2.0,2.0,1044,1962,0
