,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
86,1318569,0.05,101,Full,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1318569.jpg,40.775572,-111.86405800000001,319900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,300000,1950,3.0,1.0,1622,1901,2
88,1318092,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Attached; Opener,402.0,Hot Water; Steam,1318092.jpg,40.76962,-111.85393300000001,389000,00/00/0000,1,0,,Condo,Tar/Gravel,Salt Lake,375000,3350,3.0,2.0,1930,1929,0
89,1318630,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Parking: Covered,448.0,Electric; Forced Air,1318630.jpg,40.772276,-111.886521,249900,00/00/0000,0,1,In Ground; Indoor; With Spa,Condo,Composition,Salt Lake,249900,1775,2.0,2.0,990,1976,0
92,1316267,0.26,101,Daylight; Full,Salt Lake City,Salt Lake,0,2,Detached,,Gas: Radiant; Steam,1316267.jpg,40.773241999999996,-111.84727600000001,1000000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,923000,7515,6.0,4.0,4968,1925,2
94,1315980,0.14,101,Partial,Salt Lake City,Salt Lake,1,2,Detached,,Forced Air,1315980.jpg,40.773498,-111.85843500000001,529900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,500000,2733,4.0,3.0,3072,1897,2
95,1316888,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,2,1,Attached; Opener; Parking: Covered,361.0,Electric; Forced Air,1316888.jpg,40.774741999999996,-111.893074,232000,00/00/0000,0,0,Heated; In Ground; Indoor; With Spa,Condo,,Salt Lake,210000,1809,2.0,2.0,1225,1976,0
96,1315678,0.14,101,Daylight; Entrance; Full; Walkout; See Remarks,Salt Lake City,Salt Lake,1,1,Extra Width; Opener,,Forced Air; Gas: Central; Wall Heater; &gt;= 95% efficiency,1315678.jpg,40.781614000000005,-111.876296,478888,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,460000,3050,6.0,4.0,3895,1936,2
97,1315260,0.07,101,Full,Salt Lake City,Salt Lake,0,1,Detached,,Forced Air; Gas: Central,1315260.jpg,40.772588,-111.854702,313900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,313900,1626,3.0,2.0,1891,1906,2
98,1314514,0.08,101,Partial,Salt Lake City,Salt Lake,0,2,2 Car Deep (Tandem); Detached,,Forced Air,1314514.jpg,40.782405,-111.899456,350000,00/00/0000,0,0,,Single Family,Asphalt Shingles,,334000,1409,2.0,2.0,1754,1917,2
99,1314008,0.03,101,Partial,Salt Lake City,Salt Lake,0,2,Attached; Opener,285.0,Forced Air; Gas: Central,1314008.jpg,40.779839,-111.878819,440000,00/00/0000,1,0,,Townhouse,Asphalt Shingles,Salt Lake,440000,3087,3.0,3.0,2455,1998,1
100,1314029,0.09,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1314029.jpg,40.770828,-111.87193700000002,268800,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,255000,1137,3.0,1.0,1290,1906,2
102,1314354,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Parking: Covered,528.0,Gas: Central,1314354.jpg,40.772276,-111.886521,289000,00/00/0000,0,0,In Ground; Indoor; With Spa,Condo,Composition,Salt Lake,282500,1953,2.0,2.0,1167,1976,0
103,1313618,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Parking: Covered,394.0,Forced Air,1313618.jpg,40.774001,-111.892032,269000,00/00/0000,0,0,Fenced; Heated; In Ground; With Spa,Condo,,Salt Lake,250000,2173,1.0,2.0,1200,1976,0
106,1312185,0.59,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,3,2 Car Deep (Tandem); Attached; Opener; Storage Above,,Forced Air; Gas: Central,1312185.jpg,40.781987,-111.860854,850000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,790000,7481,4.0,4.0,4378,1995,2
107,1311594,0.29,101,Daylight; Entrance; Full,Salt Lake City,Salt Lake,1,3,See Remarks; 2 Car Deep (Tandem); Attached; Opener; Extra Length; Workshop; Workbench,,See Remarks; Forced Air; Gas: Central,1311594.jpg,40.790665999999995,-111.885893,649900,00/00/0000,2,3,See Remarks; Concrete/Gunite; Heated; In Ground; With Spa,Single Family,See Remarks; Asphalt Shingles,Salt Lake,645000,4980,5.0,4.0,5334,1980,2
108,1311639,0.13,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,Parking: Uncovered,,Forced Air; Gas: Central,1311639.jpg,40.78476,-111.896381,315000,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,315000,2046,3.0,2.0,1891,1900,2
109,1311163,0.18,101,Partial; See Remarks,Salt Lake City,Salt Lake,1,1,Detached,,Forced Air; Gas: Central,1311163.jpg,40.781096000000005,-111.881026,599999,00/00/0000,1,4,,Single Family,Asphalt Shingles,Salt Lake,590000,2467,3.0,3.0,2448,1909,2
110,1310280,0.1,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,0,Parking: Uncovered,,Gas: Radiant; Hot Water,1310280.jpg,40.776877,-111.897279,399900,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,395000,1302,5.0,2.0,2590,1909,2
112,1309745,0.37,101,Full,Salt Lake City,Salt Lake,1,2,Attached; Opener; Parking: Uncovered; Rv Parking,,Forced Air; Gas: Central,1309745.jpg,40.791059000000004,-111.884505,519000,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,526000,4481,5.0,3.0,3300,1965,2
113,1316382,0.34,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,3,2 Car Deep (Tandem); Attached; Extra Width; Opener; Extra Length; Workbench,,Forced Air; Gas: Central,1316382.jpg,40.782663,-111.86082900000001,814900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,795000,7252,6.0,5.0,5498,1994,2
114,1308661,0.29,101,Entrance; Partial,Salt Lake City,Salt Lake,0,0,Rv Parking,,Gas: Radiant; Hydronic; &gt;= 95% efficiency,1308661.jpg,40.783184999999996,-111.896999,449000,00/00/0000,0,0,,Single Family,Wood Shake Shingles,Salt Lake,435000,2449,5.0,2.0,3317,1878,2
117,1307809,0.15,101,Entrance; Full,Salt Lake City,Salt Lake,1,2,Detached,,Forced Air; Gas: Central,1307809_5d2f62106b180ca25a3eba2e563471fe_21211.jpg,40.777642,-111.866142,665900,00/00/0000,0,2,,Single Family,Metal,Salt Lake,650000,2373,6.0,4.0,3175,1936,2
118,1308047,0.08,101,Partial; Walkout,Salt Lake City,Salt Lake,1,1,Detached; Opener,,Forced Air; Gas: Central,1308047.jpg,40.776215,-111.87278300000001,399000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,385000,2349,4.0,3.0,2700,1908,2
119,1307495,0.36,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,3,Attached; Extra Height; Extra Width; Opener,,Forced Air; Active Solar,1307495.jpg,40.785514,-111.866773,850000,00/00/0000,3,3,Fenced; Heated; In Ground; Electronic Cover,Single Family,Asphalt Shingles; Rubber (EPDM),Salt Lake,825000,5917,2.0,4.0,4186,1955,2
122,1306326,0.45,101,Daylight; Walkout,Salt Lake City,Salt Lake,1,3,Attached; Opener; Extra Length,,Forced Air; Gas: Central,1306326.jpg,40.787673999999996,-111.885861,995000,00/00/0000,1,6,,Single Family,Asphalt Shingles,Salt Lake,865000,8025,5.0,7.0,7508,1995,2
126,1303920,0.15,101,Full,Salt Lake City,Salt Lake,0,1,Detached; Opener; Parking: Uncovered,,Gas: Central; Hot Water,1303920.jpg,40.783021999999995,-111.87548999999999,405000,00/00/0000,0,3,,Single Family,Asphalt Shingles; Pitched,Salt Lake,403000,3091,3.0,3.0,2830,1937,2
127,1303363,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Opener; Parking: Covered,448.0,Forced Air; Gas: Central,1303363.jpg,40.772276,-111.886521,229000,00/00/0000,0,0,Heated; Indoor; With Spa,Condo,,Salt Lake,227000,1776,2.0,2.0,1006,1976,0
128,1303130,0.08,101,Daylight; Entrance; Partial,Salt Lake City,Salt Lake,1,1,Detached; Opener; Parking: Covered; Storage Above,,Forced Air; Gas: Central,1303130.jpg,40.772597999999995,-111.867751,408500,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,394000,2410,4.0,3.0,2010,1902,2
130,1300519,0.4,101,Daylight; Full,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Forced Air; Gas: Central,1300519_ee30f53da027969af8f46514f373c30b_617897.jpg,40.781328,-111.85384199999999,779000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,750000,5771,5.0,4.0,4530,1979,2
131,1300620,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Detached,330.0,,1300620.jpg,40.770555,-111.87256200000002,269000,00/00/0000,0,0,,Condo,,Salt Lake,255000,1465,2.0,1.0,1107,1912,0
134,1293274,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Parking: Covered,348.0,Gas: Central; Hot Water,1293274.jpg,40.774001,-111.892032,249000,00/00/0000,0,0,Fenced; Heated; In Ground,Condo,Composition; Flat,Salt Lake,242500,1980,1.0,2.0,1200,1976,0
135,1289265,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Attached; Heated; Opener; Parking: Covered,331.0,Forced Air; Gas: Central,1289265.jpg,40.773058,-111.88447,350000,00/00/0000,0,0,Heated; In Ground; With Spa,Condo,,Salt Lake,310000,2904,2.0,3.0,2080,1985,0
136,1288046,0.39,101,Full,Salt Lake City,Salt Lake,2,2,Built-In; Opener; Parking: Uncovered; Extra Length; Workbench,,Forced Air; Gas: Central,1288046.jpg,40.785859,-111.870205,849000,00/00/0000,1,0,,Single Family,Tile,Salt Lake,794000,5560,6.0,4.0,4840,1963,2
137,1286790,0.01,101,Partial,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Forced Air,1286790.jpg,40.785569,-111.899699,379000,00/00/0000,1,1,,Townhouse,Composition,Salt Lake,360000,2214,2.0,4.0,2540,2009,1
138,1285942,0.12,101,Partial,Salt Lake City,Salt Lake,1,1,See Remarks; Detached; Opener; Storage Above,,Forced Air; Gas: Central,1285942_228757f13014e3f8dc4a48985de88502_910732.jpg,40.771219,-111.856599,533800,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,529000,3928,3.0,3.0,3017,1898,2
142,1280794,0.15,101,Full; Walkout,Salt Lake City,Salt Lake,1,2,2 Car Deep (Tandem); Attached; Opener,,Gas: Central,1280794.jpg,40.779253000000004,-111.89338500000001,549000,00/00/0000,0,4,,Townhouse,Asphalt Shingles,Salt Lake,535000,3870,5.0,4.0,3494,1998,1
143,1277128,0.28,101,Partial; Walkout,Salt Lake City,Salt Lake,1,3,Attached; Extra Height; Opener; Extra Length,,Gas: Central; &gt;= 95% efficiency,1277128.jpg,40.782933,-111.851143,995000,00/00/0000,0,6,,Single Family,Asphalt Shingles,Salt Lake,949000,6658,6.0,4.0,5740,1978,2
144,1265274,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Attached,242.0,Forced Air,1265274.jpg,40.770903999999994,-111.886201,349999,00/00/0000,2,2,,Condo,,Salt Lake,340000,1877,2.0,2.0,1473,1979,0
145,1241781,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Parking: Covered,463.0,Gas: Central,1241781.jpg,40.773843,-111.89191100000001,249900,00/00/0000,0,0,,Condo,,Salt Lake,231000,2812,2.0,2.0,1385,1976,0
146,1238399,0.07,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Parking: Uncovered,,Forced Air; Gas: Central,1238399.jpg,40.772835,-111.854867,330000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,310000,2079,5.0,3.0,2094,1886,2
147,1222911,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Attached; Extra Height; Opener; Parking: Covered,305.0,Forced Air; Heat Pump; Hot Water,1222911.jpg,40.77198,-111.88526200000001,385000,00/00/0000,1,0,,Condo,See Remarks,Salt Lake,370000,3644,2.0,2.0,2028,1981,0
